month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jul,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Jul,Buses,,,,,,,,,,,,,,,,,,,,,
Jul,Pedestrians,,,,,,,,,,,,,,,,-100,,,,,
Jul,Personal Vehicle Passengers,,16.160221,-5.350773,11.557789,-0.225225,122.911964,-30.835443,-10.541728,-100,,-30.381944,6.857855,-100,,19.482496,-94.522293,88.372093,776.54321,65.915493,-1.103565,-43.004292
Jul,Personal Vehicles,,18.150685,15.362319,11.557789,-0.225225,64.559819,-2.194787,-8.835905,-100,,-18.801653,8.142494,-100,,18.275862,-89.504373,27.777778,580.434783,57.507987,-6.288032,-33.982684
Jul,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Jul,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Jul,Total People,,16.732283,0.674536,11.557789,-0.225225,103.461249,-23.113905,-9.95671,-100,,-26.95599,7.280335,-100,,19.218585,-93.002657,60.759494,705.511811,63.343109,-2.633154,-40.442532
Jul,Total Vehicles,,,0,0,-50,-100,,,,,,-100,,,,-100,,-100,,,
Jul,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Jul,Trains,,,,,,,,,,,,,,,,,,,,,
Jul,Truck Containers Empty,,,,,,,,,,,,,,,,-100,,-100,,,
Jul,Truck Containers Loaded,,,,,,,,,,,,,,,,-100,,,,,
Jul,Trucks,,,0,0,-50,-100,,,,,,-100,,,,-100,,-100,,,
Aug,Bus Passengers,,,,,,,,,,,,,,,,,,,-100,,
Aug,Buses,,,,,,,,,,,,,,,,,,,-100,,
Aug,Pedestrians,,,,,,,,,,,,,,,,,,,,-100,
Aug,Personal Vehicle Passengers,,23.066841,1.597444,17.819706,-17.081851,39.914163,11.349693,3.92562,-100,,-49.280848,18.955224,-100,,0.274725,-96.164384,267.857143,542.718447,70.845921,15.119363,-41.705069
Aug,Personal Vehicles,,11.447811,44.108761,17.819706,-17.081851,39.914163,5.828221,-6.521739,-100,,-47.263682,16.352201,-100,,12.121212,-93.093093,160.869565,371.666667,64.664311,20.171674,-40.178571
Aug,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Aug,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Aug,Total People,,19.811321,12.677165,17.819706,-17.081851,39.914163,9.509202,0.560224,-100,,-48.648649,18.117409,-100,,3.707317,-95.202258,219.607843,504.294479,64.467005,14.938272,-41.245972
Aug,Total Vehicles,,-100,,,-50,-100,,,,,37.5,-100,,,,,,,-100,,
Aug,Train Passengers,,,,,,,,,,,,,,,,,,,,,
