month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Truck Containers Empty,,15,-9,3,-3,0,-4,9,-11,21,2,-13,-10,16,11,-6,3,-4,-7,-13,0,8,2,6,-15,21,-10,-5,22,-21
May,Truck Containers Loaded,,218,-104,33,-13,113,-75,-88,-84,43,-13,-17,-13,24,4,35,-48,165,-157,-23,0,28,-6,-9,-9,6,4,-2,-12,
May,Trucks,,-73,-92,-7,-5,103,-72,-5,-124,22,-11,-26,49,-23,2,34,-47,162,-167,4,-26,10,-2,0,-20,25,-9,-1,11,-15
Jun,Bus Passengers,,-119,-18,-9,-10,64,-64,0,0,12,-12,53,-41,-12,0,38,9,-26,-21,54,-54,25,-25,,,,,,,
Jun,Buses,,-2,-1,0,-1,2,-2,0,0,1,-1,2,-1,-1,0,2,-1,0,-1,1,-1,1,-1,,,,,,,
Jun,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,,,,,-1,,,
Jun,Personal Vehicle Passengers,,-164,38,-22,-121,-188,41,35,179,-189,22,-114,410,-366,181,-98,198,42,-120,-175,-9,-98,65,68,-1432,10,426,347,-68,-214
Jun,Personal Vehicles,,-126,49,-35,-49,-80,34,8,96,-92,3,-36,401,-340,73,-66,77,71,-84,-3,23,-390,323,68,-666,3,212,137,-27,-108
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Total,,-299,-36,142,-347,-73,-223,-94,292,-208,-37,-82,734,-664,206,-70,253,93,-292,-117,-53,-430,366,133,-2134,50,645,470,-91,-332
Jun,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Truck Containers Empty,,32,-23,-8,2,11,-11,-3,0,22,-14,15,-23,28,-8,4,-16,6,-14,0,0,16,-1,5,-20,,-2,-13,16,-6
Jun,Truck Containers Loaded,,134,-29,109,-78,55,-107,-84,0,34,-9,-8,-17,14,-10,23,3,-4,-26,0,0,6,4,-9,3,-2,8,4,-14,
Jun,Trucks,,-54,-52,107,-90,63,-114,-50,17,4,-26,6,5,13,-30,27,-17,3,-25,6,-12,10,1,1,-19,19,2,-5,2,-5
Jul,Bus Passengers,,9,-45,0,0,0,0,0,0,41,-41,0,0,32,-32,0,49,-49,33,-33,0,0,,,,,,,,
Jul,Buses,,0,-1,0,0,0,0,0,0,5,-5,0,0,1,-1,0,1,-1,1,-1,0,0,,,,,,,,
Jul,Pedestrians,,0,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,2,8,-10,0,0,0,,,0,-1,,,,
Jul,Personal Vehicle Passengers,,248,-1230,352,-151,-193,-258,-1435,1707,397,-1482,1111,152,455,139,294,-394,-164,-29,-357,80,-149,-42,176,-1820,-3,593,424,104,-460
Jul,Personal Vehicles,,104,-432,77,31,-159,-82,-572,659,159,-153,76,25,176,62,43,-112,-62,-16,-24,87,-47,-147,113,-770,-18,267,165,26,-185
Jul,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Total,,436,-1759,463,-131,-277,-570,-2141,2442,679,-1742,1143,159,732,179,255,-386,-270,42,-529,138,-140,-223,300,-2594,-9,890,539,120,-653
Jul,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Truck Containers Empty,,45,-36,-6,4,16,-19,-4,0,30,-18,7,-19,27,-10,-5,0,2,-8,-6,0,20,-5,-4,8,5,18,-25,-5,-4
Jul,Truck Containers Loaded,,114,13,12,-2,17,-89,-65,0,47,-13,-29,-5,12,25,-37,34,-1,34,-67,0,18,-13,7,-10,2,-4,,,
Jul,Trucks,,-84,-28,18,-3,42,-122,-65,76,0,-30,-22,6,29,-4,-40,34,-3,37,-41,-29,18,-16,7,-2,6,16,-25,-5,-4
Aug,Bus Passengers,,0,0,1,-1,0,0,0,0,0,1,55,-56,0,25,-25,10,-10,0,0,27,4,-31,,,,,,,
Aug,Buses,,0,0,1,-1,0,0,0,0,0,1,2,-3,0,1,-1,1,-1,0,0,1,1,-2,,,,,,,
Aug,Pedestrians,,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,,,,-1,,,,
Aug,Personal Vehicle Passengers,,1149,-1575,72,433,-449,136,-52,-5,-63,149,373,6,-149,287,131,267,-102,-178,-753,-51,403,-50,-39,-1702,70,486,535,-133,-329
Aug,Personal Vehicles,,-69,-57,28,81,-145,116,-7,-53,-14,-8,204,65,-102,299,-213,221,-133,-48,-108,-39,72,-30,46,-793,44,196,260,-102,-91
Aug,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Total,,1232,-1591,95,914,-975,101,-189,-28,-12,111,584,-24,-225,691,-145,981,-765,-208,-910,-54,552,-175,1,-2448,61,706,773,-219,-454
