year,month,crossingType,numberOfCrossings
1998,Oct,Rail Containers Empty,0
1998,Oct,Personal Vehicles,3281
1998,Oct,Buses,15
1998,Oct,Trains,0
1998,Oct,Personal Vehicle Passengers,9187
1998,Oct,Rail Containers Loaded,0
1998,Oct,Trucks,1235
1998,Nov,Train Passengers,0
1998,Nov,Personal Vehicles,2181
1998,Nov,Bus Passengers,200
1998,Nov,Trains,0
1998,Nov,Trucks,1228
1998,Nov,Personal Vehicle Passengers,6247
1998,Nov,Truck Containers Loaded,1051
1998,Nov,Buses,10
1998,Nov,Rail Containers Loaded,0
1998,Nov,Truck Containers Empty,49
1998,Nov,Pedestrians,0
1998,Nov,Rail Containers Empty,0
1998,Dec,Pedestrians,0
1998,Dec,Trucks,1155
1998,Dec,Rail Containers Loaded,0
1998,Dec,Truck Containers Loaded,1121
1998,Dec,Train Passengers,0
1998,Dec,Buses,11
1998,Dec,Personal Vehicles,2095
1998,Dec,Trains,0
1998,Dec,Personal Vehicle Passengers,6076
1998,Dec,Rail Containers Empty,0
1998,Dec,Bus Passengers,306
1998,Dec,Truck Containers Empty,48
1999,Jan,Rail Containers Loaded,0
1999,Jan,Truck Containers Empty,31
1999,Jan,Rail Containers Empty,0
1999,Jan,Truck Containers Loaded,928
1999,Jan,Personal Vehicles,2073
1999,Jan,Trucks,993
1999,Jan,Trains,0
1999,Jan,Personal Vehicle Passengers,5850
1999,Jan,Bus Passengers,43
1999,Jan,Buses,3
1999,Jan,Pedestrians,0
1999,Jan,Train Passengers,0
1999,Feb,Bus Passengers,153
1999,Feb,Personal Vehicles,2546
1999,Feb,Truck Containers Loaded,1104
1999,Feb,Rail Containers Empty,0
1999,Feb,Truck Containers Empty,58
1999,Feb,Pedestrians,0
1999,Feb,Trucks,1363
1999,Feb,Rail Containers Loaded,0
1999,Feb,Personal Vehicle Passengers,7129
1999,Feb,Train Passengers,0
1999,Feb,Trains,0
1999,Feb,Buses,5
1999,Mar,Personal Vehicles,1975
1999,Mar,Rail Containers Loaded,0
1999,Mar,Pedestrians,0
1999,Mar,Trains,0
1999,Mar,Bus Passengers,216
1999,Mar,Trucks,1245
1999,Mar,Personal Vehicle Passengers,5430
1999,Mar,Truck Containers Empty,55
1999,Mar,Rail Containers Empty,0
1999,Mar,Buses,14
1999,Mar,Truck Containers Loaded,1500
1999,Mar,Train Passengers,0
1999,Apr,Rail Containers Empty,0
1999,Apr,Rail Containers Loaded,0
1999,Apr,Bus Passengers,406
1999,Apr,Truck Containers Empty,115
1999,Apr,Train Passengers,0
1999,Apr,Trucks,2174
1999,Apr,Buses,18
1999,Apr,Trains,0
1999,Apr,Truck Containers Loaded,2049
1999,Apr,Personal Vehicles,2354
1999,Apr,Pedestrians,0
