month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,7,-7,-10,16,-9,-9,15,-13,11,4,-14,17,-12,-2,7,71,8,-20,-87,0,35,-4,0,-19,28,-21,3,9,7
Apr,Truck Containers Loaded,,13,-10,-7,36,24,-70,-15,20,-7,-4,-19,-18,-40,15,-10,39,-27,20,-69,0,92,50,-57,59,-74,10,26,39,66
Apr,Trucks,,27,-15,-21,43,41,-81,5,4,-3,7,-33,1,-47,30,-7,65,30,-24,3,-64,32,46,-57,38,-44,-10,21,-8,49
May,Bus Passengers,,71,-90,148,-16,71,-230,-240,-158,91,-59,101,-201,60,-142,0,61,-61,68,-68,17,-17,,33,-87,,,,,
May,Buses,,-3,4,3,4,0,-7,-10,-1,-1,-7,0,-3,1,-4,0,2,-2,0,0,1,4,-3,0,-2,,,,,
May,Pedestrians,,5,9,-14,17,15,67,-21,-29,-42,-10,9,-7,-2,0,0,0,0,0,29,-29,0,,,,,,,106,83
May,Personal Vehicle Passengers,,2232,2945,3943,825,-6365,-2016,3135,-4902,1125,-276,3914,-1646,-6048,203,-817,1497,1118,69,653,-927,-1098,1286,-1023,-14634,812,6355,3011,4086,-1855
May,Personal Vehicles,,-265,1175,1319,265,-2122,-672,1045,-1634,375,-92,127,629,-1,97,-81,682,727,-194,173,-268,-685,456,-613,-6733,483,2855,1287,1694,-661
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total People,,2043,4039,5396,1091,-8401,-2851,3919,-6723,1549,-437,4151,-1225,-5991,158,-898,2240,1784,-57,787,-1207,-1800,1796,-1603,-21454,1295,9210,4652,5886,-2433
