month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
May,Truck Containers Empty,,,,,,,,,,48,-10.810811,15.151515,-100,,,,,-100,,,,-100,,,,,,-100,,-100
May,Truck Containers Loaded,,,,,,22.222222,-15.151515,60.714286,-77.777778,0,-50,100,-20,12.5,-55.555556,75,228.571429,-82.608696,2050,-82.55814,-53.333333,-14.285714,-83.333333,0,-100,,,,,
May,Trucks,,169.565217,-100,,,-19.444444,-31.034483,100,-12.5,45.714286,-19.607843,24.390244,-84.313725,25,-60,0,400,-80,2025,-82.352941,-33.333333,-40,-83.333333,0,-100,,,-100,,-100
Jun,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Pedestrians,,,,,,,,,,,-50,-100,,,,,,,,,,-100,,,,,-50,-100,,
Jun,Personal Vehicle Passengers,,-43.055556,-100,,,14.529915,-16.044776,10.222222,-78.629032,222.641509,-14.035088,23.809524,24.175824,-37.610619,1.41844,-23.076923,45.454545,-12.5,7.142857,26.666667,-28.947368,-22.962963,69.230769,-53.409091,-85.365854,25,153.333333,184.210526,41.666667,4.575163
Jun,Personal Vehicles,,-39.705882,-100,,,-12.844037,-5.263158,34.444444,-81.818182,200,-12.121212,15.517241,41.791045,-45.263158,21.153846,-19.047619,49.019608,-21.052632,8.333333,-3.076923,-3.174603,-16.393443,5.882353,-33.333333,-75,0,122.222222,185,22.807018,1.428571
Jun,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Total,,-39.845261,-100,,,0,-9.90566,16.230366,-69.594595,122.962963,-1.993355,14.915254,-0.884956,-38.392857,5.31401,-18.348624,44.94382,-15.116279,84.018265,7.692308,-45.62212,-26.694915,32.947977,-48.695652,-82.20339,180.952381,0,179.661017,35.151515,3.587444
Jun,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,Truck Containers Empty,,,,,,,,,,-9.090909,65,21.212121,-100,,,,,0,200,-100,,-100,,,,,-100,,,
Jun,Truck Containers Loaded,,,,,,-23.076923,10,6.060606,-77.142857,12.5,0,-33.333333,16.666667,0,-14.285714,50,33.333333,-8.333333,745.454545,-15.053763,-84.810127,-25,-100,,,,,,,
Jun,Trucks,,14.285714,-100,,,-26.190476,9.677419,17.647059,-25,-3.333333,55.172414,-2.222222,-81.818182,-12.5,-14.285714,33.333333,12.5,-22.222222,1214.285714,10.869565,-87.254902,-30.769231,-100,,,,-100,,,
Jul,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Pedestrians,,,,,,,,,,,-40,-100,,,,,,-100,,,,,,,,,-100,,,
Jul,Personal Vehicle Passengers,,10.365854,-100,,,-43.908629,-16.742081,41.847826,-79.693487,249.056604,-31.891892,18.253968,-13.422819,38.75969,-3.910615,54.651163,-27.819549,-14.0625,1.818182,-10.714286,-4,-21.527778,1.769912,60.869565,-88.108108,13.636364,248,73.563218,-24.503311,22.807018
