year,month,crossingType,numberOfCrossings
1998,Apr,Trucks,146
1998,Apr,Personal Vehicle Passengers,12034
1998,Apr,Train Passengers,0
1998,Apr,Truck Containers Loaded,132
1998,Apr,Rail Containers Empty,0
1998,Apr,Truck Containers Empty,27
1998,Apr,Pedestrians,1
1998,May,Personal Vehicles,7478
1998,May,Pedestrians,17
1998,May,Personal Vehicle Passengers,22417
1998,May,Rail Containers Empty,0
1998,May,Trains,0
1998,May,Buses,25
1998,May,Bus Passengers,575
1998,May,Rail Containers Loaded,0
1998,May,Truck Containers Empty,54
1998,May,Truck Containers Loaded,146
1998,May,Trucks,208
1998,May,Train Passengers,0
1998,Jun,Bus Passengers,2231
1998,Jun,Buses,97
1998,Jun,Train Passengers,0
1998,Jun,Rail Containers Loaded,0
1998,Jun,Rail Containers Empty,0
1998,Jun,Trucks,282
1998,Jun,Personal Vehicle Passengers,42804
1998,Jun,Trains,0
1998,Jun,Personal Vehicles,14268
1998,Jun,Pedestrians,20
1998,Jun,Truck Containers Loaded,228
1998,Jun,Truck Containers Empty,73
1998,Jul,Buses,190
1998,Jul,Personal Vehicles,37157
1998,Jul,Bus Passengers,4554
1998,Jul,Rail Containers Loaded,0
1998,Jul,Truck Containers Empty,45
1998,Jul,Train Passengers,0
1998,Jul,Truck Containers Loaded,217
1998,Jul,Rail Containers Empty,0
1998,Jul,Pedestrians,3
1998,Jul,Trucks,264
1998,Jul,Trains,0
1998,Jul,Personal Vehicle Passengers,111777
1998,Aug,Personal Vehicles,38999
1998,Aug,Truck Containers Loaded,254
1998,Aug,Personal Vehicle Passengers,117037
1998,Aug,Rail Containers Loaded,0
1998,Aug,Bus Passengers,3223
1998,Aug,Pedestrians,266
1998,Aug,Trains,0
1998,Aug,Buses,127
1998,Aug,Truck Containers Empty,25
1998,Aug,Rail Containers Empty,0
1998,Aug,Train Passengers,0
1998,Aug,Trucks,300
1998,Sep,Truck Containers Loaded,146
1998,Sep,Truck Containers Empty,14
1998,Sep,Train Passengers,0
1998,Sep,Personal Vehicle Passengers,68979
1998,Sep,Pedestrians,159
1998,Sep,Buses,27
1998,Sep,Trains,0
1998,Sep,Personal Vehicles,22993
1998,Sep,Rail Containers Empty,0
1998,Sep,Trucks,249
1998,Sep,Bus Passengers,2050
1998,Sep,Rail Containers Loaded,0
1998,Oct,Trains,0
1998,Oct,Personal Vehicle Passengers,30633
1998,Oct,Personal Vehicles,10520
1998,Oct,Rail Containers Loaded,0
1998,Oct,Train Passengers,0
1998,Oct,Buses,13
1998,Oct,Trucks,204
1998,Oct,Truck Containers Empty,40
1998,Oct,Truck Containers Loaded,190
1998,Oct,Rail Containers Empty,0
1998,Oct,Pedestrians,17
1998,Oct,Bus Passengers,163
1998,Nov,Rail Containers Empty,0
1998,Nov,Pedestrians,0
1998,Nov,Truck Containers Loaded,118
1998,Nov,Buses,6
1998,Nov,Bus Passengers,240
1998,Nov,Rail Containers Loaded,0
1998,Nov,Personal Vehicles,5076
1998,Nov,Trains,0
1998,Nov,Personal Vehicle Passengers,15228
1998,Nov,Trucks,178
1998,Nov,Truck Containers Empty,24
1998,Nov,Train Passengers,0
1998,Dec,Rail Containers Loaded,0
1998,Dec,Trains,0
1998,Dec,Pedestrians,0
1998,Dec,Train Passengers,0
1998,Dec,Truck Containers Empty,16
1998,Dec,Rail Containers Empty,0
1998,Dec,Trucks,93
1998,Dec,Bus Passengers,64
1998,Dec,Buses,3
1998,Dec,Personal Vehicles,4347
1998,Dec,Truck Containers Loaded,77
1998,Dec,Personal Vehicle Passengers,12981
1999,Jan,Personal Vehicle Passengers,13338
1999,Jan,Buses,4
1999,Jan,Train Passengers,0
1999,Jan,Rail Containers Empty,0
1999,Jan,Truck Containers Empty,21
1999,Jan,Bus Passengers,42
1999,Jan,Trains,0
1999,Jan,Trucks,77
1999,Jan,Rail Containers Loaded,0
1999,Jan,Truck Containers Loaded,60
1999,Jan,Personal Vehicles,4446
1999,Jan,Pedestrians,0
1999,Feb,Buses,5
1999,Feb,Rail Containers Empty,0
1999,Feb,Pedestrians,0
1999,Feb,Truck Containers Loaded,52
1999,Feb,Truck Containers Empty,22
1999,Feb,Bus Passengers,64
1999,Feb,Trains,0
1999,Feb,Trucks,85
1999,Feb,Personal Vehicle Passengers,15204
1999,Feb,Rail Containers Loaded,0
1999,Feb,Train Passengers,0
1999,Feb,Personal Vehicles,5068
1999,Mar,Train Passengers,0
1999,Mar,Trucks,117
1999,Mar,Pedestrians,1
1999,Mar,Rail Containers Empty,0
1999,Mar,Personal Vehicle Passengers,15053
1999,Mar,Personal Vehicles,5051
1999,Mar,Rail Containers Loaded,0
1999,Mar,Truck Containers Empty,14
1999,Mar,Buses,8
1999,Mar,Bus Passengers,46
1999,Mar,Trains,0
1999,Mar,Truck Containers Loaded,112
1999,Apr,Truck Containers Empty,17
1999,Apr,Trucks,125
1999,Apr,Truck Containers Loaded,125
1999,Apr,Trains,0
1999,Apr,Train Passengers,0
1999,Apr,Bus Passengers,255
1999,Apr,Buses,20
1999,Apr,Rail Containers Loaded,0
1999,Apr,Personal Vehicles,6759
1999,Apr,Rail Containers Empty,0
1999,Apr,Personal Vehicle Passengers,20277
1999,Apr,Pedestrians,0
1999,May,Rail Containers Loaded,0
1999,May,Rail Containers Empty,0
1999,May,Personal Vehicle Passengers,26360
1999,May,Truck Containers Loaded,151
1999,May,Train Passengers,0
1999,May,Pedestrians,3
1999,May,Personal Vehicles,8797
1999,May,Trucks,161
1999,May,Buses,28
1999,May,Bus Passengers,723
1999,May,Truck Containers Empty,20
1999,May,Trains,0
1999,Jun,Truck Containers Loaded,197
1999,Jun,Truck Containers Empty,21
1999,Jun,Rail Containers Loaded,0
1999,Jun,Personal Vehicles,16166
1999,Jun,Trucks,230
1999,Jun,Bus Passengers,1513
1999,Jun,Rail Containers Empty,0
1999,Jun,Pedestrians,0
1999,Jun,Trains,0
1999,Jun,Train Passengers,0
1999,Jun,Personal Vehicle Passengers,48639
1999,Jun,Buses,64
1999,Jul,Pedestrians,215
1999,Jul,Truck Containers Loaded,201
1999,Jul,Rail Containers Loaded,0
1999,Jul,Buses,129
1999,Jul,Personal Vehicles,39605
1999,Jul,Personal Vehicle Passengers,114781
1999,Jul,Truck Containers Empty,40
1999,Jul,Bus Passengers,3691
1999,Jul,Rail Containers Empty,0
1999,Jul,Trains,0
1999,Jul,Train Passengers,0
1999,Jul,Trucks,217
1999,Aug,Pedestrians,134
1999,Aug,Trains,0
1999,Aug,Bus Passengers,3562
1999,Aug,Buses,130
1999,Aug,Rail Containers Loaded,0
1999,Aug,Personal Vehicle Passengers,119194
1999,Aug,Train Passengers,0
1999,Aug,Rail Containers Empty,0
1999,Aug,Trucks,289
1999,Aug,Truck Containers Loaded,261
1999,Aug,Personal Vehicles,40040
1999,Aug,Truck Containers Empty,39
1999,Sep,Trains,0
1999,Sep,Rail Containers Empty,0
1999,Sep,Truck Containers Loaded,346
1999,Sep,Truck Containers Empty,24
1999,Sep,Personal Vehicle Passengers,82395
1999,Sep,Trucks,360
1999,Sep,Pedestrians,98
1999,Sep,Buses,70
1999,Sep,Bus Passengers,2109
1999,Sep,Personal Vehicles,27748
1999,Sep,Rail Containers Loaded,0
1999,Sep,Train Passengers,0
1999,Oct,Rail Containers Loaded,0
1999,Oct,Personal Vehicle Passengers,37852
1999,Oct,Personal Vehicles,12446
1999,Oct,Trucks,372
1999,Oct,Truck Containers Empty,60
1999,Oct,Rail Containers Empty,0
1999,Oct,Truck Containers Loaded,289
1999,Oct,Trains,0
1999,Oct,Bus Passengers,130
1999,Oct,Pedestrians,0
1999,Oct,Train Passengers,0
1999,Oct,Buses,5
1999,Nov,Trains,0
1999,Nov,Trucks,235
1999,Nov,Truck Containers Loaded,147
1999,Nov,Rail Containers Empty,0
1999,Nov,Bus Passengers,9
1999,Nov,Pedestrians,0
1999,Nov,Personal Vehicle Passengers,24899
1999,Nov,Truck Containers Empty,35
1999,Nov,Personal Vehicles,8216
1999,Nov,Rail Containers Loaded,0
1999,Nov,Train Passengers,0
1999,Nov,Buses,1
1999,Dec,Train Passengers,0
