year,month,crossingType,numberOfCrossings
1998,Jul,Personal Vehicle Passengers,1821
1998,Jul,Rail Containers Empty,0
1998,Jul,Truck Containers Loaded,29
1998,Jul,Personal Vehicles,694
1998,Jul,Rail Containers Loaded,0
1998,Jul,Buses,0
1998,Jul,Bus Passengers,0
1998,Jul,Pedestrians,0
1998,Aug,Personal Vehicle Passengers,1692
1998,Aug,Truck Containers Empty,5
1998,Aug,Buses,0
1998,Aug,Rail Containers Loaded,0
1998,Aug,Train Passengers,0
1998,Aug,Truck Containers Loaded,24
1998,Aug,Trucks,32
1998,Aug,Rail Containers Empty,0
1998,Aug,Personal Vehicles,686
1998,Aug,Pedestrians,0
1998,Aug,Bus Passengers,0
1998,Aug,Trains,0
1998,Sep,Train Passengers,0
1998,Sep,Trucks,24
1998,Sep,Rail Containers Empty,0
1998,Sep,Truck Containers Empty,0
1998,Sep,Bus Passengers,0
1998,Sep,Rail Containers Loaded,0
1998,Sep,Pedestrians,0
1998,Sep,Personal Vehicle Passengers,1029
1998,Sep,Buses,0
1998,Sep,Personal Vehicles,464
1998,Sep,Trains,0
1998,Sep,Truck Containers Loaded,25
1998,Oct,Truck Containers Loaded,34
1998,Oct,Rail Containers Loaded,0
1998,Oct,Train Passengers,0
1998,Oct,Trains,0
1998,Oct,Personal Vehicles,636
1998,Oct,Rail Containers Empty,0
1998,Oct,Buses,1
1998,Oct,Trucks,38
1998,Oct,Pedestrians,0
1998,Oct,Personal Vehicle Passengers,1468
1998,Oct,Bus Passengers,30
1998,Oct,Truck Containers Empty,4
1998,Nov,Trucks,26
1998,Nov,Truck Containers Empty,1
1998,Nov,Rail Containers Loaded,0
1998,Nov,Train Passengers,0
1998,Nov,Personal Vehicles,451
1998,Nov,Personal Vehicle Passengers,1032
1998,Nov,Rail Containers Empty,0
1998,Nov,Trains,0
1998,Nov,Truck Containers Loaded,30
1998,Nov,Pedestrians,0
1998,Nov,Bus Passengers,47
1998,Nov,Buses,1
1998,Dec,Rail Containers Empty,0
1998,Dec,Bus Passengers,0
1998,Dec,Rail Containers Loaded,0
1998,Dec,Personal Vehicles,407
1998,Dec,Truck Containers Empty,0
1998,Dec,Trains,0
1998,Dec,Train Passengers,0
1998,Dec,Personal Vehicle Passengers,959
1998,Dec,Truck Containers Loaded,27
1998,Dec,Buses,0
1998,Dec,Pedestrians,0
1998,Dec,Trucks,27
1999,Jan,Rail Containers Loaded,0
1999,Jan,Personal Vehicles,717
1999,Jan,Personal Vehicle Passengers,1690
1999,Jan,Buses,2
1999,Jan,Trains,0
1999,Jan,Truck Containers Loaded,25
1999,Jan,Rail Containers Empty,0
1999,Jan,Truck Containers Empty,0
1999,Jan,Trucks,29
1999,Jan,Bus Passengers,53
1999,Jan,Train Passengers,0
1999,Jan,Pedestrians,0
1999,Feb,Personal Vehicles,428
1999,Feb,Trains,0
1999,Feb,Train Passengers,0
1999,Feb,Buses,4
1999,Feb,Pedestrians,0
1999,Feb,Trucks,27
1999,Feb,Truck Containers Loaded,27
1999,Feb,Rail Containers Loaded,0
1999,Feb,Rail Containers Empty,0
1999,Feb,Bus Passengers,218
1999,Feb,Personal Vehicle Passengers,706
1999,Feb,Truck Containers Empty,0
1999,Mar,Rail Containers Empty,0
1999,Mar,Truck Containers Empty,1
1999,Mar,Personal Vehicles,417
1999,Mar,Buses,0
1999,Mar,Truck Containers Loaded,27
1999,Mar,Bus Passengers,0
1999,Mar,Train Passengers,0
1999,Mar,Trucks,27
1999,Mar,Personal Vehicle Passengers,1013
