year,month,crossingType,numberOfCrossings
1998,May,Personal Vehicles,14434
1998,May,Train Passengers,93
1998,May,Trains,31
1998,May,Bus Passengers,1395
1998,May,Personal Vehicle Passengers,14434
1998,May,Buses,68
1998,May,Truck Containers Loaded,8697
1998,May,Rail Containers Empty,602
1998,May,Trucks,10111
1998,May,Truck Containers Empty,1735
1998,May,Rail Containers Loaded,1273
1998,May,Pedestrians,1162
1998,Jun,Buses,71
1998,Jun,Bus Passengers,1384
1998,Jun,Trucks,10298
1998,Jun,Truck Containers Loaded,8569
1998,Jun,Truck Containers Empty,1812
1998,Jun,Personal Vehicle Passengers,56521
1998,Jun,Pedestrians,1142
1998,Jun,Rail Containers Loaded,1464
1998,Jun,Train Passengers,90
1998,Jun,Trains,30
1998,Jun,Rail Containers Empty,410
1998,Jun,Personal Vehicles,16610
1998,Jul,Truck Containers Empty,1582
1998,Jul,Trucks,9654
1998,Jul,Bus Passengers,2582
1998,Jul,Pedestrians,1569
1998,Jul,Trains,31
1998,Jul,Train Passengers,93
1998,Jul,Buses,103
1998,Jul,Personal Vehicles,21952
1998,Jul,Personal Vehicle Passengers,74971
1998,Jul,Truck Containers Loaded,8527
1998,Jul,Rail Containers Loaded,1551
1998,Jul,Rail Containers Empty,491
1998,Aug,Truck Containers Loaded,9031
1998,Aug,Personal Vehicles,23872
1998,Aug,Bus Passengers,2404
1998,Aug,Rail Containers Loaded,1510
1998,Aug,Personal Vehicle Passengers,81973
1998,Aug,Pedestrians,1579
1998,Aug,Rail Containers Empty,565
1998,Aug,Train Passengers,90
1998,Aug,Trucks,10058
1998,Aug,Truck Containers Empty,1507
1998,Aug,Trains,30
1998,Aug,Buses,99
1998,Sep,Trucks,10361
1998,Sep,Personal Vehicle Passengers,62629
1998,Sep,Buses,80
1998,Sep,Trains,33
1998,Sep,Truck Containers Loaded,9011
1998,Sep,Pedestrians,1414
1998,Sep,Rail Containers Loaded,1468
1998,Sep,Train Passengers,99
1998,Sep,Truck Containers Empty,1385
1998,Sep,Bus Passengers,1732
1998,Sep,Rail Containers Empty,432
1998,Sep,Personal Vehicles,18224
1998,Oct,Trucks,10310
1998,Oct,Rail Containers Empty,589
1998,Oct,Personal Vehicle Passengers,58946
1998,Oct,Train Passengers,120
1998,Oct,Truck Containers Loaded,10024
1998,Oct,Pedestrians,1188
1998,Oct,Personal Vehicles,17182
1998,Oct,Buses,61
1998,Oct,Trains,40
1998,Oct,Bus Passengers,1047
1998,Oct,Rail Containers Loaded,1969
1998,Oct,Truck Containers Empty,1367
1998,Nov,Bus Passengers,793
1998,Nov,Truck Containers Loaded,9148
1998,Nov,Truck Containers Empty,1253
1998,Nov,Trucks,10775
1998,Nov,Rail Containers Empty,379
1998,Nov,Pedestrians,1080
1998,Nov,Personal Vehicle Passengers,52734
1998,Nov,Trains,32
1998,Nov,Buses,51
1998,Nov,Rail Containers Loaded,1332
1998,Nov,Personal Vehicles,15245
1998,Nov,Train Passengers,96
1998,Dec,Personal Vehicle Passengers,45018
1998,Dec,Rail Containers Loaded,1411
1998,Dec,Rail Containers Empty,303
1998,Dec,Trains,27
1998,Dec,Bus Passengers,429
1998,Dec,Personal Vehicles,13185
1998,Dec,Buses,38
1998,Dec,Truck Containers Loaded,7904
