month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Oct,Truck Containers Empty,,,,,,,200,-77.777778,200,-50,-100,,-100,,,,,
Oct,Truck Containers Loaded,,,,,,,,-57.142857,111.111111,73.684211,-100,,-96.551724,-100,,,,
Oct,Trucks,,-50,185.714286,15,91.304348,-86.363636,566.666667,-70,150,20,-97.222222,2900,-96.666667,200,-66.666667,-100,,-100
Nov,Bus Passengers,,,,,,,,,,,,,,,,,,
Nov,Buses,,,,,,,,,,,,,,,,,,
Nov,Pedestrians,,,,,,,,,,,,,,,,,,
Nov,Personal Vehicle Passengers,,19.458763,-24.919094,53.87931,-36.507937,4.852941,5.189341,-59.866667,-23.255814,-36.796537,6.164384,-100,,-21.808511,-18.367347,-18.333333,-16.326531,-100
Nov,Personal Vehicles,,9.375,-22.857143,52.469136,-31.983806,-6.25,25.079365,-60.659898,-30.967742,-20.560748,-15.294118,-100,,3.658537,-11.764706,-20,-3.333333,-100
Nov,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Nov,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Nov,Total People,,16.12069,-24.276169,53.431373,-35.079872,1.181102,11.284047,-60.13986,-25.877193,-31.656805,-1.731602,-100,,-14.074074,-15.948276,-18.974359,-11.392405,-100
Nov,Total Vehicles,,-50,-25,566.666667,-60,37.5,227.272727,-55.555556,128.125,-94.520548,-100,,-66.666667,-85.714286,750,-41.176471,70,-100
Nov,Train Passengers,,,,,,,,,,,,,,,,,,
Nov,Trains,,,,,,,,,,,,,,,,,,
Nov,Truck Containers Empty,,,,,,,228.571429,-82.608696,-100,,-100,,-50,-100,,,,
Nov,Truck Containers Loaded,,,,,,,225,-7.692308,200,-100,,,-68.421053,-100,,,,
Nov,Trucks,,-50,-25,566.666667,-60,-31.25,227.272727,-55.555556,131.25,-94.594595,-100,,-66.666667,-71.428571,750,-41.176471,70,-100
