month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Apr,Rail Containers Loaded,,461,-696,498,-375,230,-89,-226,2217,-1835,270,573,-805,-196,-266,-97,-74,298,-599,747,-141,344,-231,1117,-1004,1171,-91,27,246,-1528
Apr,Total People,,-955,-4742,3803,-5026,-21295,15033,-2148,1951,-3947,21627,-21205,-3398,-9668,16000,-5614,-167,-2424,3999,-7068,-9234,1847,-5547,315,-36095,3067,22741,4411,-970,-6581
Apr,Total Vehicles,,1871,1348,1346,-1068,-607,3917,-5798,1472,-1884,796,2903,226,-5410,1280,722,2239,1378,774,-1700,-1297,2056,-1845,3558,-4856,5879,-57,-1693,12969,-9296
Apr,Train Passengers,,20,-39,0,19,-16,-12,0,39,-27,3,111,-24,-12,12,-18,66,-24,-6,-18,-12,12,-24,36,-12,-124,-62,,,
Apr,Trains,,5,-2,0,6,-5,-4,0,13,-9,1,6,-8,-2,2,-3,11,-4,-1,-3,-2,4,-6,7,-3,5,1,0,-2,-3
Apr,Truck Containers Empty,,-103,-40,17,-217,1,693,-1013,-253,152,359,26,551,-273,391,470,276,455,113,-247,-990,38,-239,516,-630,1050,-373,-428,792,-429
Apr,Truck Containers Loaded,,644,917,284,-147,-498,1367,-1758,-222,-72,-127,1090,-122,-2272,-134,540,55,460,625,-375,296,1949,-1158,834,-1093,1133,249,-794,10062,-4652
Apr,Trucks,,628,1267,546,-719,-467,2104,-2865,-377,69,206,1106,476,-2522,1150,-38,469,662,1048,-1238,-573,-131,-9,1172,-2121,2656,62,-575,1874,-2822
May,Bus Passengers,,-395,561,1190,-1862,-25,298,-167,-101,163,-283,245,155,-670,123,-65,-141,62,230,-65,-342,610,-108,-477,-165,,,,,173
May,Buses,,-10,16,22,-44,2,18,-17,2,-26,-5,-7,12,-14,3,-2,-7,7,4,-3,-6,7,2,-9,-7,,,,,5
May,Pedestrians,,-620,46,4953,-4895,-560,-310,-119,43,-83,-46,33,-29,15,-22,222,-196,258,-201,1,-133,44,121,28,-233,141,-194,,,
May,Personal Vehicle Passengers,,-252,-42044,38121,1959,-19844,19402,-4001,12839,-15323,21976,-29089,-2679,1199,5620,-11678,1391,3105,-1065,-3824,-3490,-989,1404,-2659,-24531,2076,13784,6593,595,-7286
May,Personal Vehicles,,-387,-1924,810,407,-577,306,-1493,2608,-1340,3151,1930,-1340,599,3522,-1979,132,2098,-507,-3047,-494,-1847,-2506,-1303,-11955,1342,6310,2795,-44,-3254
May,Rail Containers Empty,,275,-51,-102,271,219,-239,-59,72,110,23,35,376,-566,432,393,199,-272,-10,-389,-206,-151,-91,-16,21,39,-104,-77,434,91
May,Rail Containers Loaded,,275,-607,223,-677,544,69,213,991,-1349,527,578,-642,-741,850,-284,-634,234,-277,41,206,272,1276,-348,-639,769,305,-178,-221,-660
May,Total People,,-1630,-43408,45074,-4352,-21045,19666,-5750,15407,-16598,24798,-26731,-3941,1119,9285,-13512,1162,5547,-1537,-6947,-4483,-2182,-1053,-4408,-36911,3435,19838,9388,632,-10367
May,Total Vehicles,,1073,-1627,2286,320,1762,522,-4755,486,-2115,3692,1936,211,-3633,2612,647,1128,-976,2329,-5463,4103,527,1596,2082,-6538,5856,-470,759,7526,-21246
May,Train Passengers,,24,-47,0,39,-39,-30,30,18,-15,0,150,-48,-24,42,-12,-24,24,6,-12,-24,0,36,3,-27,-124,-62,,,
May,Trains,,6,-4,0,2,-2,-10,10,6,-5,0,9,-8,-4,7,-2,-4,4,1,-2,-4,1,6,0,-5,1,5,0,-3,2
May,Truck Containers Empty,,-198,417,-405,198,-382,445,-207,-651,-29,717,36,191,-41,690,55,1198,207,-16,-1070,962,-1148,-276,207,-58,544,1304,-1839,591,-15
May,Truck Containers Loaded,,654,-901,1337,254,884,-33,-2347,302,-987,1490,555,113,-2306,1128,-110,191,-709,1068,-1965,2675,1117,418,994,-2922,1811,-1741,1959,7339,-19212
May,Trucks,,71,-497,1211,316,497,272,-2348,-236,171,940,730,169,39,-498,597,185,-447,1559,-2075,476,429,261,1254,-2928,2692,-239,894,-616,-1457
Jun,Bus Passengers,,35,240,1734,-1628,-105,-310,-214,7,122,-57,151,-453,-44,-185,157,-37,123,33,-135,-248,589,-126,-421,-337,,,-171,,-149
Jun,Buses,,9,6,44,-50,-1,-8,-5,11,-27,-7,3,18,59,-95,8,85,-88,6,-1,-11,15,-4,-12,-11,,,-4,,-7
Jun,Pedestrians,,-292,-24,134,-30,-761,-49,-4,-290,41,-7,-4,158,-186,42,176,67,75,-245,115,15,-214,84,58,-230,385,-291,-181,,
Jun,Personal Vehicle Passengers,,1688,-6977,6532,-4965,-17810,24445,-7148,16879,-16515,17396,-30481,-926,58,8455,-16244,4378,3057,-2205,-3636,-3447,-28,195,-544,-30694,1995,16454,9196,934,-6974
Jun,Personal Vehicles,,232,-1855,1473,-1489,918,1048,-2110,2200,-198,1373,2601,-465,31,4228,-2665,1527,1333,-541,-2767,-877,-1358,-4272,-446,-13906,1143,7237,3508,319,-3167
Jun,Rail Containers Empty,,229,-308,91,370,71,-216,15,43,-120,252,-14,332,-473,-258,333,636,300,-240,-594,-3,-151,-70,108,-52,-169,83,-118,348,94
Jun,Rail Containers Loaded,,-449,200,11,-280,-88,156,440,743,-1021,196,540,-406,-671,-381,-181,361,172,131,18,153,-370,1231,-123,-623,1303,-177,37,-553,-480
Jun,Total People,,1629,-8616,9876,-8103,-17770,25122,-9461,18791,-16542,18705,-27607,-1728,-141,12540,-18576,5965,4612,-3000,-6429,-4587,-1011,-4089,-1344,-45203,3697,23272,12318,1452,-10290
Jun,Total Vehicles,,1923,1550,1302,790,2881,-3320,-4622,3083,-3241,3545,3542,274,-5254,-4120,8510,-360,-3060,5584,-6036,3077,348,1898,1971,-4285,6104,-1322,-803,8076,-3491
Jun,Train Passengers,,-34,0,3,9,-12,-12,15,-5,8,0,126,-42,0,0,0,30,24,-42,-6,-30,0,30,9,-36,174,-299,-34,,
Jun,Trains,,-1,0,1,3,-4,-4,5,3,-2,0,5,-7,0,0,0,5,4,-7,-1,-5,2,5,1,-6,10,-1,-1,-3,-1
Jun,Truck Containers Empty,,164,232,-463,165,15,-94,199,-861,-62,826,-445,584,-121,-453,1673,678,-675,1033,-1770,720,-486,-13,155,-105,1125,-365,-89,171,102
Jun,Truck Containers Loaded,,979,706,1096,266,1211,-1437,-2773,2016,-1743,1483,1979,-395,-2342,-4065,5868,-1538,-2427,3128,-2558,2376,1589,230,746,-1630,1244,6,-884,8078,-2427
Jun,Trucks,,992,714,522,316,1677,-1717,-2503,1128,-266,795,1474,148,-1706,1132,809,-587,-346,1533,-1130,-153,-251,519,1096,-1858,2591,-872,256,27,-772
